BEAFIPS,BEANAME,AREA,STNAME,CREGION,CDIVISION,XCOORD1,YCOORD1,XCOORD2,YCOORD2,POP7,POP9,URBAN9,GENDER9,AG9TLT05,AG9T0509,AG9T1014,AG9T1519,AG9T2024,AG9T2529,AG9T3034,AG9T3544,AG9T4554,AG9T5559,AG9T6064,AG9T6574,AG9TGT74,WHITE9,BLACK9,INDIAN9,ASIAN9,OTHER9,HISPAN9,SINGLE9,MARRIED9,FEHEAD9,MIDSCHL9,HIGSCHL9,COLSCHL9,GRDSCHL9,FEPROP7,FEPROP9,UNEMP9,HINCOME9,POVFAM9,AGFFMIN9,CONSTUC9,MANODUR9,MANDURA9,TRANSPO9,COMUTIL9,WHOLTRD9,RETLTRD9,FINREAL9,BUSREPR9,ENTRECR9,HELSERV9,EDUSERV9,PROSERV9,PUBADMI9,EXEC9,PROF9,TECH9,SALE9,ADMI9,PRIV9,PROT9,SERV9,FARM9,PREC9,MACH9,MOVE9,HAND9
145,"Great Falls, MT",39575.3512,Montana,WEST,Mountain,-110.31863,47.91695,-667.81254,772.56206,169385,163284,54.4119448323167,97.9223990593825,8.09448568138948,8.6744567746993,8.20594791896328,6.66201219960315,5.40469366257564,7.34425908233507,8.6303618235712,14.3443325739203,9.98628157076015,4.43950417677176,4.30905661301781,7.92606746527523,5.97854045711766,87.9535043237549,.644276230371622,10.4119203351216,.608755297518434,.381543813233385,1.23159648220279,20.3487233069941,63.6395546267877,12.014004053805,9.18765381659711,90.8123461834029,44.8448945049173,4.71590743280707,34.8802395209581,45.7442236153721,6.82969938828208,28883.6627097027,12.8501013451262,15.4876765521023,5.7904643338817,2.02303143479614,1.80368443673766,4.92345086182621,2.08379648155559,3.78373571650883,19.6167355831221,5.06721207001319,3.46360766528834,4.83897262608747,9.68831977235339,9.71351503564389,6.00091888607295,5.7148785440102,8.9472826167504,13.3579357668994,2.48840276851481,11.1481629688913,13.3445970980985,.48463829976435,1.23456790123457,15.4669275117454,11.9959094749011,10.2574363078565,2.61141493634491,5.02719606361063,3.63552828538823
144,"Billings, MT-WY",83011.9876,Montana,WEST,Mountain,-107.46414,46.17714,-549.80139,635.75537,302043,362513,51.891380447046,97.611844292902,7.27891137697131,7.97240374827937,8.08798581016405,7.37021844733844,5.82682552073995,6.71148345024868,8.84492418202933,15.9812199838351,10.0859831233639,4.25501981997887,4.25529567215521,7.65572544984594,5.67400341504994,93.0154228951789,.197786010432729,5.6690380758759,.437777403844828,.679975614667612,2.0628225746387,22.2313380471744,62.0226336337957,11.7413109160792,8.16338062452187,91.8366193754781,48.8650984073997,5.52628833715836,34.8132316072363,45.1545709039463,5.99710246629919,29269.6595943412,11.0918134544632,13.0128533156738,6.14009211041209,3.00532795520905,2.87709581288944,5.08232744348454,2.59053008639114,4.11185695794829,19.1204358688781,4.84091387977484,3.97278829655941,5.39658649649318,7.93112790102646,10.6071460822973,6.71502964992023,4.59588814304205,9.92504740977093,13.2067066012462,2.6946810752235,11.2772041780801,14.2090846151531,.450919599048794,1.24499563529093,14.650371752807,9.23271424701243,10.9954546822793,3.10827488636706,5.35625056440203,3.64829475331868
115,"Rapid City, SD-MT-NE-ND",42536.587,South Dakota,MIDWEST,West North Central,-102.46013,44.01784,-320.46929,464.1925,168926,199782,50.4479883072549,99.7180902111324,8.87417284840476,9.11093091469702,8.31456287353215,7.21236147400667,6.54613528746334,7.89210239160685,8.52128820414251,14.430228949555,8.81961337858266,4.01687839745322,4.05742259062378,6.91253466278243,5.29176802714959,83.6421699652621,.929012623759898,14.1253966823838,.699262195793415,.604158532800753,1.69184411007999,23.1859549035588,61.188535723988,13.8866551790159,9.57804814910691,90.4219518508931,46.8931884796206,5.10049852613296,36.2354179457942,46.0797389668231,6.15752536766349,28438.6037777747,14.3480758184951,14.2174958915855,6.75566246695406,2.16614666444376,6.09950699025889,3.85119203563008,1.99347417057661,3.14859361230857,18.4330864315145,3.93574201538571,3.40819777550194,5.29211422583181,9.16116893324124,9.5112773001167,6.0721175601972,5.95422392645343,8.82415985900398,13.2517207707147,2.74251554052445,10.7747636173101,13.2255221854384,.331054850310811,1.45521232762522,14.3032367161264,10.618762950437,12.1680520161002,3.88929906875938,4.50258413318408,3.91311596446519
143,"Casper, WY-ID-UT",79081.0279,Wyoming,WEST,Mountain,-107.55138,42.60603,-583.93857,390.88354,279931,382095,67.9331056412672,100.64010334072,7.89463353354532,9.26000078514506,8.88025229327785,7.64705112602887,6.17961501720776,7.63501223517712,9.21184522173805,16.2129836820686,9.82216464491815,3.81528153993117,3.79853177874612,5.75930069747052,3.88332744474542,93.6528873709418,.827019458511627,2.39783299964668,.653502401235295,2.46875776966461,6.01447284052395,21.3879561385196,63.4151519547656,11.233282337265,5.40720496461925,94.5927950353807,49.8137397404542,5.65221553967605,34.9818824740866,44.2278956086599,6.17177947449936,32877.1698439838,9.4270344963727,13.896836520752,6.56558051176314,3.61639773424921,2.87852286022078,4.89406804202528,3.75134659268612,2.52290655515528,18.3959040415156,4.30677987698224,3.46465266596393,4.71104727264303,6.08138632441011,12.2403827219127,6.11208284585713,6.56210543386348,10.3209813619989,14.0213601454899,3.1061404626487,10.6476386845672,13.8777235923039,.342874352766741,1.69352129643573,13.3952669439007,4.98673678601629,13.3744164765027,3.65404441149556,6.68489151965157,3.89440396622224
121,"North Platte, NE-CO",12481.0671,Nebraska,MIDWEST,West North Central,-101.33499,41.31876,-275.23518,273.60191,59588,60432,45.8366428382314,94.3338585715664,7.07572147206778,8.35815462006884,8.24894095843262,6.93837701879799,4.08061953931692,6.01833465713529,7.75913423351867,14.1530976965846,10.1949298384962,4.921233783426,4.97087635689701,9.21862589356632,8.06195393169182,97.147206777866,.364045538787397,.349152766746095,.263105639396346,1.87648927720413,4.09551231135822,17.0901994796184,66.957935819601,9.24838520258368,9.02409974405109,90.9759002559489,41.9274726945592,3.62383112440131,34.3549843098483,43.848603012199,3.36041486603284,27999.5844716333,9.58308866705813,16.6601080384932,4.93328086430795,2.25020570242908,3.28766143168891,9.32279182914177,3.02293134905019,3.38067470396737,20.3770614960827,4.46463706936644,3.28408399813973,4.71505741780846,6.67191356920545,8.09930955532501,4.94759059850463,4.58269237648911,7.48399098486746,9.98103960218939,2.02124995528208,11.658855936751,12.9610417486495,.468643794941509,.965907058276393,13.5584731513612,14.6746324187028,11.4656745250957,3.55954638142597,6.67191356920545,4.52903087325153
114,"Aberdeen, SD",15345.6979,South Dakota,MIDWEST,West North Central,-99.52589,45.31189,-171.68312,546.02286,99204,84696,37.0135543591197,94.8602323708731,7.30849154623595,8.08184565977142,7.75125153490129,7.08652120525172,5.52092188533107,6.83149145178049,7.45962028903372,12.8329555114763,9.5742419948994,4.47010484556532,5.38750354207991,9.25191272315103,8.44313781052234,90.9417209785586,.0661188249740247,8.68754132426561,.194814395012751,.109804477189005,.311703032020402,22.7617672360821,62.1835443037975,9.69419229752357,19.4898746738212,80.5101253261789,39.6504832959682,4.06850674409203,34.38390516357,45.5408365494941,4.09403526322371,25796.0936864172,14.1182691460298,18.5407322415771,4.98070303536038,3.45259205173673,3.98717012621258,3.1996453530823,1.80974235944508,4.16188588713883,16.6657974340252,4.48263273182435,2.86586001877542,4.51131740899134,10.2456451444665,9.78669030979451,5.68999687076249,5.61958902680713,9.00177323458851,12.2979034108689,2.29216647543549,10.3290914780432,12.5873578804631,.56326275164285,.649316783143841,14.7673933451549,16.9004902472098,9.25993532909148,4.21143214770001,3.9663085428184,3.17356837383957
151,"Reno, NV-CA",88544.4823,Nevada,WEST,Mountain,-117.48364,39.91169,-1121.4625,295.25509,248717,511004,67.9207990544105,105.397366432465,7.52127184914404,7.32870975569663,6.33713239035311,6.01893527252233,6.77411527111334,8.53398407840252,9.56235176241282,16.8284396991022,11.2713403417586,4.33029878435394,4.3338212616731,7.19270299254018,3.96689654092727,89.2184796987891,1.77630703477859,3.1381359050027,2.44322940720621,3.42384795422345,9.03339308498564,21.8430390056042,59.2518194255805,12.5566561608885,5.42707579943325,94.5729242005667,50.8682017049833,5.61322488469428,37.6206513947939,44.3202090701387,5.65289768679662,38027.7120855346,7.06888788833859,7.40313292228725,7.76071171481331,2.45806078057025,5.40397796626084,4.22326374761353,2.97917123094739,3.31640637225752,16.2968295202028,5.49082970799036,4.14971362398673,16.5839879815968,6.33274388908015,6.19777158774373,5.4474038371256,5.95599511752371,12.028966229539,11.5328941191199,3.21977402898188,11.6854715032393,15.1114206128134,.291070702012457,2.72800538324309,16.6794466526869,2.59655409846327,11.6819504866827,3.84377640762417,4.80736127194767,3.79330850364621
112,"Bismarck, ND-MT-SD",28143.6714,North Dakota,MIDWEST,West North Central,-101.67841,46.70254,-270.66542,646.83066,156001,172204,51.6161064783629,97.8105795186951,7.52131193235929,8.74079580032984,8.31397644654015,7.20308471347936,5.15028686906227,7.30993472857773,8.56426099277601,14.8562170449002,9.38247659752387,4.47724791526329,4.47434438224431,7.55034726254907,6.45571531439456,94.8682957422592,.0673619660402778,4.60616478130589,.309516619823001,.148660890571648,.463984576432603,22.994541240963,64.0245451675739,9.83084405802092,18.8389651045023,81.1610348954977,45.2812816499401,4.39922659055336,32.2973332826112,45.2584365655703,5.24411004892915,28875.206806813,12.2412086256618,17.2952735130789,5.68510189210242,2.54667437244013,2.47380455813252,3.71636052968817,4.02291630022363,3.605799432118,16.9246425609971,5.12978365203407,3.09445435585597,3.62338869764053,9.82611754654874,8.96801266427118,6.47536246450738,6.61230746036133,9.78340075885117,13.1793853808076,3.24396311279745,10.8488076990728,13.3515089077066,.290222881121693,1.07294519687414,14.2334849360505,12.9859034600598,10.2344397818931,2.74015629318793,4.98153127120135,3.05425032037591
154,"Flagstaff, AZ-UT",48572.6547,Arizona,WEST,Mountain,-111.28103,35.96976,-844.99862,-38.4387,144801,299753,56.6209512498624,97.6754001279354,8.34253535410822,8.70583447038061,8.22143564868408,8.2791498333628,7.18791805252992,6.7899237038495,7.56956560901809,13.7609965538293,9.37972263830554,4.21914042561709,4.5337327733167,8.29716466557466,4.71288027142347,70.0860375042118,.782977985207821,25.8382735118581,.508418597979003,2.78429240074328,7.60225919340257,25.9546619286983,59.8595573332857,13.3734074527223,10.6443822723102,89.3556177276898,47.6151607437388,6.27100420506296,36.2109420374027,45.128126160563,10.1021945360531,28612.3185858802,17.682261882597,5.0833793784364,8.68486127591735,2.30980353082908,5.592441960525,4.36054674408283,2.93028016558121,2.12049022183172,20.7012744680658,4.29442295672968,3.84695513546318,7.42760351090137,6.83430103533547,13.2981277004321,5.9674453572949,6.5480665585739,9.61602913069865,14.8189748095544,2.75636554678937,12.3071766954411,13.389614036359,.437503962898215,2.29802806184839,15.0952454279477,2.42574661002364,13.1350827453147,3.88952798485494,5.12595222782815,4.70475276044167
111,"Minot, ND",15886.5728,North Dakota,MIDWEST,West North Central,-102.28811,48.33365,-292.28434,760.36987,124029,116054,51.1554965791787,99.3130334724441,7.82825236527823,8.59341341099833,7.704172195702,7.20181984248712,6.62450238681993,8.09536939700484,8.42711151705241,14.2761128440209,8.4986299481276,4.05931721440019,4.22648077619039,7.53442363037896,6.93039447153911,94.0148551536354,1.23218501731952,3.73446843710686,.538542402674617,.479948989263619,.949557964395885,22.6562943614786,63.5398330588837,10.3611832195622,13.2330680887111,86.7669319112889,47.0649502145565,3.27042453026705,33.8870431893688,45.9640643059788,6.32505216740817,27255.0973923756,11.3098099541711,14.9542923190081,4.58758011978565,2.17295366186824,1.51728485867395,4.86707996217295,2.59115267416203,4.69685825365136,20.7691499422087,4.53294105285279,3.05348324051697,4.9364295471262,9.92119365346223,9.33277293264684,6.39487233371861,5.67195544814542,9.00914153619838,12.3232110959336,2.75717137753494,13.1259850793317,12.5943049280235,.357255437637911,1.13060838499527,16.4316486287696,9.65850583166964,10.6062834926973,2.14563412840181,6.45581590837449,3.40443417043186
